captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785906243847|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785906243847|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785906243935|1001|staircase_4096B_f2r_active|fixed|1346371075|8193|8193
1785906243935|1001|staircase_4096B_f2r_active|rotating|1350557187|8193|8193
1785906244323|1001|staircase_4096B_f2r_terminal|fixed|1350565379|8193|8193
1785906244323|1001|staircase_4096B_f2r_terminal|rotating|1346371075|8193|8193
1785906244575|1002|staircase_4096B_r2f_active|fixed|1346362883|8193|8193
1785906244575|1002|staircase_4096B_r2f_active|rotating|1350565379|8193|8193
1785906244954|1002|staircase_4096B_r2f_terminal|fixed|1350565379|8193|8193
1785906244954|1002|staircase_4096B_r2f_terminal|rotating|1350565379|8193|8193
1785906245701|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785906245701|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
