schema_version|1
label|lane0_d0_r0_fixed_short
sequence|1001
elapsed_ms|1672
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000000
mm2s_taildesc|0x01000000
s2mm_dmacr|0x00010003
s2mm_dmasr|0x00010008
s2mm_curdesc|0x01001000
s2mm_taildesc|0x01001000
pl_status|0x00000269
pl_object_error|0x00000000
pl_input_byte_count|0x0000001F
pl_output_byte_count|0x0000001F
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00001F
tx_bd_1C|0x8000001F
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x103910E9
tx_bd_38|0x00000001
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000001F
rx_bd_1C|0x00000000
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x103910E9
rx_bd_38|0x00000001
rx_bd_3C|0x00000104
tx_buffer_00|0xAA55FF00
tx_buffer_04|0x8001817E
tx_buffer_08|0xCC33EF10
tx_buffer_0C|0xA55AF00F
tx_buffer_10|0x50414652
tx_buffer_14|0xFFFE0100
tx_buffer_18|0xADDE3713
tx_buffer_1C|0xE1C3EFBE
tx_buffer_20|0x30041551
tx_buffer_24|0x1280A863
tx_buffer_28|0x82C02C43
tx_buffer_2C|0x2380F168
tx_buffer_30|0x2DB90456
tx_buffer_34|0x081E4CA5
tx_buffer_38|0x81142DC4
tx_buffer_3C|0xA4104973
rx_buffer_00|0xAA55FF00
rx_buffer_04|0x8001817E
rx_buffer_08|0xCC33EF10
rx_buffer_0C|0xA55AF00F
rx_buffer_10|0x50414652
rx_buffer_14|0xFFFE0100
rx_buffer_18|0xADDE3713
rx_buffer_1C|0x01C3EFBE
rx_buffer_20|0x05221030
rx_buffer_24|0x0111A5FB
rx_buffer_28|0x49594C92
rx_buffer_2C|0xF141111A
rx_buffer_30|0x30CA8044
rx_buffer_34|0x5201A422
rx_buffer_38|0x0442A0C7
rx_buffer_3C|0xA689C034
