captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785882815368|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785882815368|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785882815524|1001|staircase_262144B_f2r_active|fixed|1346371075|8193|8193
1785882815524|1001|staircase_262144B_f2r_active|rotating|1346362883|8193|8193
1785882816200|1001|staircase_262144B_f2r_terminal|fixed|1346371075|8193|8193
1785882816200|1001|staircase_262144B_f2r_terminal|rotating|1350565379|8193|8193
1785882816503|1002|staircase_262144B_r2f_active|fixed|1350557187|8193|8193
1785882816503|1002|staircase_262144B_r2f_active|rotating|1350565379|8193|8193
1785882817181|1002|staircase_262144B_r2f_terminal|fixed|1350565379|8193|8193
1785882817181|1002|staircase_262144B_r2f_terminal|rotating|1346371075|8193|8193
1785882817750|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785882817750|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
