schema_version|1
label|sack_duplicate_ack
sequence|1003
elapsed_ms|442
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000040
mm2s_taildesc|0x01000040
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001040
s2mm_taildesc|0x01001040
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x0000F700
pl_output_byte_count|0x0000F700
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00F700
tx_bd_1C|0x8000F700
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503914E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000F700
rx_bd_1C|0x8C00F700
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503914E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000080
tx_current_00|0x010000C0
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C00F700
tx_current_1C|0x8000F700
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503914E9
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000080
tx_tail_00|0x010000C0
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C00F700
tx_tail_1C|0x8000F700
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503914E9
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001080
rx_current_00|0x010010C0
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x0000F700
rx_current_1C|0x8C00F700
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503914E9
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001080
rx_tail_00|0x010010C0
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x0000F700
rx_tail_1C|0x8C00F700
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503914E9
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x0195DD2D
tx_buffer_04|0xD62BA652
tx_buffer_08|0x8D19377D
tx_buffer_0C|0x164D7D0E
tx_buffer_10|0xEA67C3C4
tx_buffer_14|0x595EA635
tx_buffer_18|0xEBA3D162
tx_buffer_1C|0x4BC24FED
tx_buffer_20|0x2AA62EF6
tx_buffer_24|0xA9A3E8B9
tx_buffer_28|0xFC274862
tx_buffer_2C|0x54B09474
tx_buffer_30|0xD81A54E8
tx_buffer_34|0x20B14E6D
tx_buffer_38|0x257B347C
tx_buffer_3C|0xE8CE2B71
rx_buffer_00|0x0195DD2D
rx_buffer_04|0xD62BA652
rx_buffer_08|0x8D19377D
rx_buffer_0C|0x164D7D0E
rx_buffer_10|0xEA67C3C4
rx_buffer_14|0x595EA635
rx_buffer_18|0xEBA3D162
rx_buffer_1C|0x4BC24FED
rx_buffer_20|0x2AA62EF6
rx_buffer_24|0xA9A3E8B9
rx_buffer_28|0xFC274862
rx_buffer_2C|0x54B09474
rx_buffer_30|0xD81A54E8
rx_buffer_34|0x20B14E6D
rx_buffer_38|0x257B347C
rx_buffer_3C|0xE8CE2B71
