captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785951552829|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785951552829|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785951553205|1001|p10_4_identity_terminal|fixed|1346371075|8193|8193
1785951553205|1001|p10_4_identity_terminal|rotating|1350565379|8193|8193
1785951553422|1002|p10_4_receive_only_5000ms_active|fixed|1346371075|8193|8193
1785951553422|1002|p10_4_receive_only_5000ms_active|rotating|1346371075|8193|8193
1785951558543|1002|p10_4_receive_only_5000ms|fixed|1346371075|8193|8193
1785951558543|1002|p10_4_receive_only_5000ms|rotating|1346371075|8193|8193
1785951558861|1002|p10_4_receive_only_5000ms_terminal|fixed|1346371075|8193|8193
1785951558861|1002|p10_4_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785951559426|1003|p10_4_ring32_terminal|fixed|1346371075|8193|8193
1785951559426|1003|p10_4_ring32_terminal|rotating|1346371075|8193|8193
1785951559949|1004|p10_4_dma_reset_idle_terminal|fixed|1350565379|8193|8193
1785951559949|1004|p10_4_dma_reset_idle_terminal|rotating|1350565379|8193|8193
1785951560495|1005|p10_4_pl_soft_reset_terminal|fixed|1346371075|8193|8193
1785951560495|1005|p10_4_pl_soft_reset_terminal|rotating|1350565379|8193|8193
1785951560987|1006|p10_4_identity_after_reset_terminal|fixed|1350565379|8193|8193
1785951560987|1006|p10_4_identity_after_reset_terminal|rotating|1350565379|8193|8193
1785951561521|1007|P10_4-PREFLIGHT_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785951561521|1007|P10_4-PREFLIGHT_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
