label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path
tune_buffer2|13|0|0|3|0|2|257|4194304|16|1|0|0|30000|2701197313|257|269488128|8|32|0|262144|65536|2|4|0|0|0|0|NA|1785555281504|1785555296801|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer2.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer2.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer2.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer2.rotating.p10_1.bin
tune_buffer4|13|0|0|3|0|2|257|4194304|16|1|0|0|30000|2701197313|257|269488129|8|32|0|262144|65536|4|4|0|0|0|0|NA|1785555296849|1785555312280|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer4.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer4.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer4.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer4.rotating.p10_1.bin
tune_buffer8|13|0|0|3|0|2|257|4194304|16|1|0|0|30000|2701197313|257|269488130|8|32|0|131072|65536|8|4|0|0|0|0|NA|1785555312314|1785555325719|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer8.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer8.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer8.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_buffer8.rotating.p10_1.bin
tune_ring8|13|0|0|3|0|2|257|4194304|8|1|0|0|30000|2701197313|257|269488131|8|32|0|131072|65536|4|4|0|0|0|0|NA|1785555325795|1785555339096|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring8.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring8.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring8.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring8.rotating.p10_1.bin
tune_ring16|13|0|0|3|0|2|257|4194304|16|1|0|0|30000|2701197313|257|269488132|8|32|0|262144|65536|4|4|0|0|0|0|NA|1785555339142|1785555354565|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring16.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring16.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring16.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring16.rotating.p10_1.bin
tune_ring32|13|0|0|3|0|2|257|4194304|32|1|0|0|30000|2701197313|257|269488133|8|32|0|262144|65536|4|4|0|0|0|0|NA|1785555354609|1785555370048|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring32.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring32.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring32.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_ring32.rotating.p10_1.bin
tune_batch4|13|0|0|3|0|2|257|4194304|16|1|0|0|30000|2701197313|257|269488135|8|32|0|262144|65536|4|4|0|0|0|0|NA|1785555370081|1785555385472|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch4.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch4.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch4.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch4.rotating.p10_1.bin
tune_batch8|13|0|0|3|0|2|257|4194304|32|1|0|0|30000|2701197313|257|269488136|8|32|0|524288|65536|4|8|0|0|0|0|NA|1785555385507|1785555399147|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch8.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch8.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch8.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch8.rotating.p10_1.bin
tune_batch16|13|0|0|3|0|2|257|4194304|32|1|0|0|30000|2701197313|257|269488137|8|32|0|1048576|65536|2|16|0|0|0|0|NA|1785555399199|1785555413348|1009|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch16.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch16.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch16.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/tune_batch16.rotating.p10_1.bin
P10-DIAG_endpoint_shutdown|10|0|0|0|0|0|0|0|8|0|0|0|10000|0|0|0|0|0|0|0|1024|0|0|0|0|0|0|NA|1785555413381|1785555413525|1010|0|0|6|6|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/P10-DIAG_endpoint_shutdown.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1_HW/evidence/hardware/p10_1/p10_1_hw_20260801T033309Z_bfff4836_1585d1ad_9ad4f85f/stages/tuning/dumps/P10-DIAG_endpoint_shutdown.rotating.bin||
