label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path|fixed_p10_1r_dump_path|rotating_p10_1r_dump_path
remediation_raw_lane0_f2r_64|2|0|0|1|0|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785660927455|1785660927676|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_64.rotating.p10_1r.psv
remediation_raw_lane0_f2r_1024|2|0|0|1|0|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785660927709|1785660927940|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_f2r_1024.rotating.p10_1r.psv
remediation_frame_lane0_f2r_0000_1048576|13|0|0|1|0|2|257|1048576|32|1|0|0|10000|0xA1010001|0x101|1342179840|32|32|0|262144|65536|4|8|0|0|0|0|remediation_frame_lane0_f2r|1785660927979|1785660932042|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_f2r_0000_1048576.rotating.p10_1r.psv
remediation_raw_lane0_r2f_64|2|0|0|1|1|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785660937984|1785660938223|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_64.rotating.p10_1r.psv
remediation_raw_lane0_r2f_1024|2|0|0|1|1|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785660938254|1785660938486|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane0_r2f_1024.rotating.p10_1r.psv
remediation_frame_lane0_r2f_0000_1048576|13|0|0|1|1|2|257|1048576|32|1|0|0|10000|0xA1010001|0x101|1476397568|32|32|0|262144|65536|4|8|0|0|0|0|remediation_frame_lane0_r2f|1785660938519|1785660942613|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane0_r2f_0000_1048576.rotating.p10_1r.psv
remediation_raw_lane1_f2r_64|2|0|0|2|0|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785660948532|1785660948784|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_64.rotating.p10_1r.psv
remediation_raw_lane1_f2r_1024|2|0|0|2|0|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785660948817|1785660949065|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_f2r_1024.rotating.p10_1r.psv
remediation_frame_lane1_f2r_0000_1048576|13|0|0|2|0|2|257|1048576|32|1|0|0|10000|0xA1010001|0x101|1392511488|32|32|0|262144|65536|4|8|0|0|0|0|remediation_frame_lane1_f2r|1785660949098|1785660953222|1009|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_frame_lane1_f2r_0000_1048576.rotating.p10_1r.psv
remediation_raw_lane1_r2f_64|2|0|0|2|1|2|257|0|8|0|0|0|30000|2685403137|10|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785660959109|1785660959318|1010|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_r2f_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_r2f_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_r2f_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_1R/evidence/hardware/p10_1r/p10_1r_20260802T084403Z_a1ac5457_42fc3b22_3cc8144a/crosstalk_remediation/dumps/remediation_raw_lane1_r2f_64.rotating.p10_1r.psv
