label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path|fixed_p10_1r_dump_path|rotating_p10_1r_dump_path|injection_applied|injection_readback|injection_timestamp_ms|injection_sender|injection_preconditions_verified|injection_pre_outstanding|injection_pre_target_scheduled|injection_pre_target_physical_tx|injection_pre_dropped_ack|injection_pre_migration_count|injection_initial_sequence|injection_pre_ack_base|injection_baseline_physical_ack_good|injection_pre_physical_ack_good|injection_post_write_ack_base|injection_baseline_target_crc_bad|injection_pre_target_crc_bad|injection_atomic_status|injection_trigger_sequence|injection_trigger_ack_base|injection_trigger_outstanding|injection_trigger_attempt_count|injection_trigger_physical_tx_count|injection_trigger_count|injection_trigger_migration_count|injection_trigger_scheduled_count
degrade_00_maskE_00000_1048576|13|0|0|14|0|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|0x6F000000|32|32|0|262144|65536|4|32|0|0|0|0|degrade_00_maskE|1785971121897|1785971123889|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00000_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_00_maskE_00001_1048576|13|0|256|14|0|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862270980|32|32|0|262144|65536|4|32|0|0|0|0|degrade_00_maskE|1785971124283|1785971126234|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_00_maskE_00001_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_01_maskF_00000_1048576|13|0|0|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862270984|32|32|0|262144|65536|4|32|0|0|0|0|degrade_01_maskF|1785971131905|1785971133668|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00000_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_01_maskF_00001_1048576|13|0|256|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862270988|32|32|0|262144|65536|4|32|0|0|0|0|degrade_01_maskF|1785971133894|1785971135380|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00001_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_01_maskF_00002_1048576|13|0|512|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862270992|32|32|0|262144|65536|4|32|0|0|0|0|degrade_01_maskF|1785971135557|1785971137047|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_01_maskF_00002_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_02_maskD_00000_1048576|13|0|0|13|0|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862270996|32|32|0|262144|65536|4|32|0|0|0|0|degrade_02_maskD|1785971141916|1785971143924|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00000_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_02_maskD_00001_1048576|13|0|256|13|0|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862271000|32|32|0|262144|65536|4|32|0|0|0|0|degrade_02_maskD|1785971144135|1785971146042|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_02_maskD_00001_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_03_maskF_00000_1048576|13|0|0|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862271004|32|32|0|262144|65536|4|32|0|0|0|0|degrade_03_maskF|1785971151930|1785971153559|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00000_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_03_maskF_00001_1048576|13|0|256|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862271008|32|32|0|262144|65536|4|32|0|0|0|0|degrade_03_maskF|1785971153800|1785971155328|1009|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00001_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
degrade_03_maskF_00002_1048576|13|0|512|15|1|2|16843009|1048576|32|1|0|0|10000|0xA1010001|0x101|1862271012|32|32|0|262144|65536|4|32|0|0|0|0|degrade_03_maskF|1785971155533|1785971157081|1010|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_4/evidence/hardware/p10_4/p10_4_20260805T215824Z_6ff17d33_94506af9_2b2b37d4/stages/degrade/dumps/degrade_03_maskF_00002_1048576.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
