schema_version|1
label|lane0_d0_r0_prbs
sequence|1002
elapsed_ms|468
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000040
mm2s_taildesc|0x01000040
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001040
s2mm_taildesc|0x01001040
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x000000F7
pl_output_byte_count|0x000000F7
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00001F
tx_bd_1C|0x8000001F
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x103910E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000001F
rx_bd_1C|0x8C00001F
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x103910E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_buffer_00|0x08EE0819
tx_buffer_04|0xD66FC220
tx_buffer_08|0x02EFB0EF
tx_buffer_0C|0x08FC4A6F
tx_buffer_10|0x77BBD06C
tx_buffer_14|0xA639BF8B
tx_buffer_18|0x2FD00CB0
tx_buffer_1C|0xD9C39F63
tx_buffer_20|0x1536A90C
tx_buffer_24|0x48410DD5
tx_buffer_28|0x33CB1B73
tx_buffer_2C|0xE593A8FA
tx_buffer_30|0xDB8C9A6F
tx_buffer_34|0xCACA2FB2
tx_buffer_38|0x4B00A7F8
tx_buffer_3C|0xC2BEB011
rx_buffer_00|0x08EE0819
rx_buffer_04|0xD66FC220
rx_buffer_08|0x02EFB0EF
rx_buffer_0C|0x08FC4A6F
rx_buffer_10|0x77BBD06C
rx_buffer_14|0xA639BF8B
rx_buffer_18|0x2FD00CB0
rx_buffer_1C|0xD9C39F63
rx_buffer_20|0x1536A90C
rx_buffer_24|0x48410DD5
rx_buffer_28|0x33CB1B73
rx_buffer_2C|0xE593A8FA
rx_buffer_30|0xDB8C9A6F
rx_buffer_34|0xCACA2FB2
rx_buffer_38|0x4B00A7F8
rx_buffer_3C|0xC2BEB011
