schema_version|1
label|fault_future_sequence
sequence|1007
elapsed_ms|443
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000140
mm2s_taildesc|0x01000140
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001180
s2mm_taildesc|0x01001180
pl_status|0x00000205
pl_object_error|0x00000000
pl_input_byte_count|0x00004C39
pl_output_byte_count|0x00004A48
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C005CA0
tx_bd_1C|0x80005CA0
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391BE9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00005CA0
rx_bd_1C|0x8C005CA0
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391BE9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000180
tx_current_00|0x010001C0
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C005CA0
tx_current_1C|0x80005CA0
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391BE9
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000180
tx_tail_00|0x010001C0
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C005CA0
tx_tail_1C|0x80005CA0
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391BE9
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001180
rx_current_00|0x010011C0
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00005CA0
rx_current_1C|0x8C005CA0
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391BE9
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001180
rx_tail_00|0x010011C0
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00005CA0
rx_tail_1C|0x8C005CA0
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391BE9
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x79C1F507
tx_buffer_04|0x5E13B8CB
tx_buffer_08|0x2FA5B362
tx_buffer_0C|0x04930C8C
tx_buffer_10|0xDDE1E67B
tx_buffer_14|0x02AB3057
tx_buffer_18|0x468624AD
tx_buffer_1C|0xAD4BBEB8
tx_buffer_20|0xCBDB5DA9
tx_buffer_24|0xD6076014
tx_buffer_28|0x76DCA2DA
tx_buffer_2C|0x92E46314
tx_buffer_30|0xA753E071
tx_buffer_34|0xBA2DC0A5
tx_buffer_38|0x9CCD937F
tx_buffer_3C|0x228904D4
rx_buffer_00|0x79C1F507
rx_buffer_04|0x5E13B8CB
rx_buffer_08|0x2FA5B362
rx_buffer_0C|0x04930C8C
rx_buffer_10|0xDDE1E67B
rx_buffer_14|0x02AB3057
rx_buffer_18|0x468624AD
rx_buffer_1C|0xAD4BBEB8
rx_buffer_20|0xCBDB5DA9
rx_buffer_24|0xD6076014
rx_buffer_28|0x76DCA2DA
rx_buffer_2C|0x92E46314
rx_buffer_30|0xA753E071
rx_buffer_34|0xBA2DC0A5
rx_buffer_38|0x9CCD937F
rx_buffer_3C|0x228904D4
