schema_version|1
label|lane0_mapping_invalid
sequence|1009
elapsed_ms|507
mm2s_dmacr|0x00010003
mm2s_dmasr|0x00011008
mm2s_curdesc|0x01000200
mm2s_taildesc|0x01000200
s2mm_dmacr|0x00010003
s2mm_dmasr|0x00011008
s2mm_curdesc|0x01001200
s2mm_taildesc|0x01001200
pl_status|0x00000205
pl_object_error|0x00000000
pl_input_byte_count|0x0000B752
pl_output_byte_count|0x00009870
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00F700
tx_bd_1C|0x8000F700
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503923E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000F700
rx_bd_1C|0x8C00F700
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503923E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000200
tx_current_00|0x01000240
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C00F700
tx_current_1C|0x00000000
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503923FA
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000200
tx_tail_00|0x01000240
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C00F700
tx_tail_1C|0x00000000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503923FA
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001200
rx_current_00|0x01001240
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x0000F700
rx_current_1C|0x00000000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503923FA
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001200
rx_tail_00|0x01001240
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x0000F700
rx_tail_1C|0x00000000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503923FA
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0xC2AE3C4B
tx_buffer_04|0xA41FC2BB
tx_buffer_08|0xFEC14E80
tx_buffer_0C|0xC3221547
tx_buffer_10|0xF3686EAA
tx_buffer_14|0x056B258F
tx_buffer_18|0x97219E70
tx_buffer_1C|0xE6F9CB6E
tx_buffer_20|0x97323F2D
tx_buffer_24|0x0B11D9B2
tx_buffer_28|0x8849FEA8
tx_buffer_2C|0x1DC4598C
tx_buffer_30|0xE2F7CF0C
tx_buffer_34|0x3C441E75
tx_buffer_38|0x15FE6109
tx_buffer_3C|0xB11A2229
rx_buffer_00|0xC2AE3C4B
rx_buffer_04|0xA41FC2BB
rx_buffer_08|0xFEC14E80
rx_buffer_0C|0xC3221547
rx_buffer_10|0xF3686EAA
rx_buffer_14|0x056B258F
rx_buffer_18|0x97219E70
rx_buffer_1C|0xE6F9CB6E
rx_buffer_20|0x97323F2D
rx_buffer_24|0x0B11D9B2
rx_buffer_28|0x8849FEA8
rx_buffer_2C|0x1DC4598C
rx_buffer_30|0xE2F7CF0C
rx_buffer_34|0x3C441E75
rx_buffer_38|0x15FE6109
rx_buffer_3C|0xB11A2229
