schema_version|1
label|fault_drop_burst_data
sequence|1002
elapsed_ms|112
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000000
mm2s_taildesc|0x01000000
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001000
s2mm_taildesc|0x01001000
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x00005CA0
pl_output_byte_count|0x00005CA0
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C005CA0
tx_bd_1C|0x80005CA0
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391BE9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00005CA0
rx_bd_1C|0x8C005CA0
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391BE9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000000
tx_current_00|0x01000040
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C005CA0
tx_current_1C|0x80005CA0
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391BE9
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000040
tx_tail_00|0x01000080
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C005CA0
tx_tail_1C|0x00000000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391BEB
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001040
rx_current_00|0x01001080
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00005CA0
rx_current_1C|0x00000000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391BEB
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001040
rx_tail_00|0x01001080
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00005CA0
rx_tail_1C|0x00000000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391BEB
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x49A03A52
tx_buffer_04|0x851ECE5D
tx_buffer_08|0x2D683440
tx_buffer_0C|0x4CAF52F4
tx_buffer_10|0xC53BF553
tx_buffer_14|0xC7523231
tx_buffer_18|0x6BE1201B
tx_buffer_1C|0x4E326560
tx_buffer_20|0x3E47BB5E
tx_buffer_24|0xFF7AB133
tx_buffer_28|0x74C5795E
tx_buffer_2C|0x13A31446
tx_buffer_30|0x3AB6980F
tx_buffer_34|0x10E836A5
tx_buffer_38|0x732160B8
tx_buffer_3C|0xD51DFCD4
rx_buffer_00|0x00000000
rx_buffer_04|0x00000000
rx_buffer_08|0x00000000
rx_buffer_0C|0x00000000
rx_buffer_10|0x00000000
rx_buffer_14|0x00000000
rx_buffer_18|0x00000000
rx_buffer_1C|0x00000000
rx_buffer_20|0x00000000
rx_buffer_24|0x00000000
rx_buffer_28|0x00000000
rx_buffer_2C|0x00000000
rx_buffer_30|0x00000000
rx_buffer_34|0x00000000
rx_buffer_38|0x00000000
rx_buffer_3C|0x00000000
